NAME_2,tahun,Persentase_Kemiskinan,source_file,is_imputed
Bangkalan,2018,19.59,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2018.csv",0
Bangkalan,2019,18.9,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2019.csv",0
Bangkalan,2020,20.56,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2020.csv",0
Bangkalan,2021,21.57,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2021.csv",0
Bangkalan,2022,19.44,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2022.csv",0
Bangkalan,2023,19.35,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2023.csv",0
Bangkalan,2024,18.66,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2024.csv",0
Bangkalan,2025,18.25,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2025.csv",0
Banyuwangi,2018,7.8,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2018.csv",0
Banyuwangi,2019,7.52,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2019.csv",0
Banyuwangi,2020,8.06,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2020.csv",0
Banyuwangi,2021,8.07,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2021.csv",0
Banyuwangi,2022,7.51,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2022.csv",0
Banyuwangi,2023,7.34,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2023.csv",0
Banyuwangi,2024,6.54,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2024.csv",0
Banyuwangi,2025,6.13,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2025.csv",0
Batu,2018,3.89,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2018.csv",0
Batu,2019,3.81,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2019.csv",0
Batu,2020,3.89,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2020.csv",0
Batu,2021,4.09,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2021.csv",0
Batu,2022,3.79,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2022.csv",0
Batu,2023,3.31,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2023.csv",0
Batu,2024,3.06,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2024.csv",0
Batu,2025,2.86,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2025.csv",0
Blitar,2018,9.72,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2018.csv",0
Blitar,2019,8.94,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2019.csv",0
Blitar,2020,9.33,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2020.csv",0
Blitar,2021,9.65,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2021.csv",0
Blitar,2022,8.71,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2022.csv",0
Blitar,2023,8.69,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2023.csv",0
Blitar,2024,8.16,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2024.csv",0
Blitar,2025,7.57,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2025.csv",0
Bojonegoro,2018,13.16,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2018.csv",0
Bojonegoro,2019,12.38,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2019.csv",0
Bojonegoro,2020,12.87,"Persentase Penduduk Miskin Menurut Kabupaten_Kota di Jawa Timur, 2020.csv",0
